prot_tag,prot_id,product,Product_unified,start_stop,size,accession,name,cluster*,origin*
KVP40.0240,NP_899486.1,hypothetical protein,hypothetical protein,[125303:125831](+),175,NC_005083.2,"Vibrio phage KVP40, complete genome",370,370
CF80_gp139,YP_009006213.1,hypothetical protein,hypothetical protein,[64983:65517](+),177,NC_023568.1,"Vibrio phage VH7D, complete genome",370,370
AVU32_gp005,YP_009201108.1,hypothetical protein,hypothetical protein,[1705:2239](-),177,NC_028829.1,"Vibrio phage ValKK3, complete genome",370,370
phiST2_0117,ALP47511.1,hypothetical protein,hypothetical protein,[52363:52822](+),152,KT919973.1,"Vibrio phage phi-ST2, complete genome",370,370
pp2_236,AFN37469.1,hypothetical protein,hypothetical protein,[124620:125151](+),176,JN849462.1,"Vibriophage phi-pp2, complete genome",370,370
VPFG_00296,YP_008125444.2,hypothetical protein,hypothetical protein,[46725:47241](+),171,NC_021529.2,"Vibrio phage nt-1, complete genome",370,370
phiGrn1_0357,ALP47132.1,hypothetical protein,hypothetical protein,[237503:237956](+),150,KT919972.1,"Vibrio phage phi-Grn1, complete genome",396,396
CF80_gp134,YP_009006208.1,hypothetical protein,hypothetical protein,[62677:63130](+),150,NC_023568.1,"Vibrio phage VH7D, complete genome",396,396
phiST2_0112,ALP47516.1,hypothetical protein,hypothetical protein,[49982:50435](+),150,KT919973.1,"Vibrio phage phi-ST2, complete genome",396,396
VPFG_00292,YP_008125440.1,hypothetical protein,hypothetical protein,[44698:45163](+),154,NC_021529.2,"Vibrio phage nt-1, complete genome",396,396
KVP40.0233,NP_899479.1,hypothetical protein,hypothetical protein,[121742:122195](+),150,NC_005083.2,"Vibrio phage KVP40, complete genome",396,396
pp2_230,AFN37463.1,hypothetical protein,hypothetical protein,[121681:122134](+),150,JN849462.1,"Vibriophage phi-pp2, complete genome",396,396
AVU32_gp010,YP_009201113.1,hypothetical protein,hypothetical protein,[4092:4545](-),150,NC_028829.1,"Vibrio phage ValKK3, complete genome",396,396
VPFG_00058,YP_008125210.1,hypothetical protein,hypothetical protein,[171666:171912](+),81,NC_021529.2,"Vibrio phage nt-1, complete genome",536,536
CF80_gp231,YP_009006305.1,hypothetical protein,hypothetical protein,[186658:186859](+),66,NC_023568.1,"Vibrio phage VH7D, complete genome",536,536
KVP40.0011,NP_899259.1,hypothetical protein,hypothetical protein,[7339:7585](+),81,NC_005083.2,"Vibrio phage KVP40, complete genome",536,536
pp2_011,AFN37245.1,hypothetical protein,hypothetical protein,[7336:7582](+),81,JN849462.1,"Vibriophage phi-pp2, complete genome",536,536
AVU32_gp251,YP_009201354.1,hypothetical protein,hypothetical protein,[126835:127081](-),81,NC_028829.1,"Vibrio phage ValKK3, complete genome",536,536
CF80_gp250,YP_009006324.1,hypothetical protein,hypothetical protein,[197374:197578](+),67,NC_023568.1,"Vibrio phage VH7D, complete genome",439,439
AVU32_gp231,YP_009201334.1,hypothetical protein,hypothetical protein,[115407:115611](-),67,NC_028829.1,"Vibrio phage ValKK3, complete genome",439,439
VPFG_00078,YP_008125229.1,hypothetical protein,hypothetical protein,[182680:182866](+),61,NC_021529.2,"Vibrio phage nt-1, complete genome",439,439
KVP40.0030,NP_899278.1,hypothetical protein,hypothetical protein,[17975:18176](+),66,NC_005083.2,"Vibrio phage KVP40, complete genome",439,439
pp2_030,AFN37264.1,hypothetical protein,hypothetical protein,[17971:18172](+),66,JN849462.1,"Vibriophage phi-pp2, complete genome",439,439
phiGrn1_0145,ALP47300.1,hypothetical protein,hypothetical protein,[125965:126169](+),67,KT919972.1,"Vibrio phage phi-Grn1, complete genome",439,439
AVU32_gp185,YP_009201288.1,hypothetical protein,hypothetical protein,[87840:88305](-),154,NC_028829.1,"Vibrio phage ValKK3, complete genome",268,268
KVP40.0075,NP_899323.1,hypothetical protein,hypothetical protein,[45480:45945](+),154,NC_005083.2,"Vibrio phage KVP40, complete genome",268,268
VPHG_00156,YP_007673639.1,hypothetical protein,hypothetical protein,[104280:104466](+),61,NC_020843.1,Vibrio phage 11895-B1 genomic sequence,268,268
VPFG_00122,YP_008125273.1,hypothetical protein,hypothetical protein,[210481:210943](+),153,NC_021529.2,"Vibrio phage nt-1, complete genome",268,268
pp2_073,AFN37306.1,hypothetical protein,hypothetical protein,[45529:45946](+),138,JN849462.1,"Vibriophage phi-pp2, complete genome",268,268
CF80_gp295,YP_009006369.1,hypothetical protein,hypothetical protein,[225085:225550](+),154,NC_023568.1,"Vibrio phage VH7D, complete genome",268,268
F397_gp63,YP_007006452.1,putative tail-fiber protein,putative tail-fiber protein,[42388:42916](+),175,NC_019518.1,"Vibrio phage vB_VchM-138, complete genome",55,55
TUST1-10_00325,ADX89477.1,hypothetical protein,putative tail-fiber protein,[31113:31527](-),137,HQ641354.1,"Vibrio phage ICP1_2004_A, complete genome",55,55
TUST1-2_00340,ADX89250.1,hypothetical protein,putative tail-fiber protein,[31711:32125](-),137,HQ641353.1,"Vibrio phage ICP1_2001_A, complete genome",55,55
TUST1-17_00330,ADX88792.1,hypothetical protein,putative tail-fiber protein,[31136:31550](-),137,HQ641351.1,"Vibrio phage ICP1_2006_A, complete genome",55,55
SBVc24_0010,AIA08699.1,hypothetical protein,putative tail-fiber protein,[42045:42447](+),133,KJ572844.2,"Vibrio phage 24, complete genome",55,55
ViPhICP1_gp069,YP_004251010.1,hypothetical protein,putative tail-fiber protein,[31711:32125](-),137,NC_015157.1,"Vibrio phage ICP1, complete genome",55,55
BAF98835.1,BAF98835.1,putative tail fiber assembly protein,putative tail-fiber protein,[29068:29593](+),174,AB374228.1,"Vibrio phage kappa proviral DNA, complete genome",55,<5fil
VcP032_43,ANA87675.1,tail fiber protein II,putative tail-fiber protein,[29423:29948](+),174,KX058879.1,"Vibrio phage VcP032, complete genome",55,<5fil
ViPhICP1_gp087,YP_004251028.1,hypothetical protein,hypothetical protein,[47209:47668](-),152,NC_015157.1,"Vibrio phage ICP1, complete genome",89,89
F353_gp47,YP_007003087.1,hypothetical protein,hypothetical protein,[30679:31150](+),156,NC_019457.1,"Vibrio phage CP-T1, complete genome",89,89
TUST1-182_00435,ADX88360.1,hypothetical protein,hypothetical protein,[46474:46990](-),171,HQ641349.1,"Vibrio phage ICP1_2006_C, complete genome",89,89
TUST1-15_00435,ADX89039.1,hypothetical protein,hypothetical protein,[46614:47154](-),179,HQ641352.1,"Vibrio phage ICP1_2005_A, complete genome",89,89
TUST1-10_00430,ADX89498.1,hypothetical protein,hypothetical protein,[46613:47129](-),171,HQ641354.1,"Vibrio phage ICP1_2004_A, complete genome",89,89
VPHG_00111,YP_007673597.1,hypothetical protein,hypothetical protein,[71764:72322](-),185,NC_020843.1,Vibrio phage 11895-B1 genomic sequence,89,89
F397_gp44,YP_007006433.1,hypothetical protein,hypothetical protein,[30101:30572](+),156,NC_019518.1,"Vibrio phage vB_VchM-138, complete genome",89,89
SBVc24_0028,AIA08717.1,hypothetical protein,hypothetical protein,[30582:31053](+),156,KJ572844.2,"Vibrio phage 24, complete genome",89,89
pp2_061,AFN37294.1,phage capsid vertex protein,major capsid protein,[36300:37197](+),298,JN849462.1,"Vibriophage phi-pp2, complete genome",289-446,289-446
phiGrn1_0097,ALP46976.1,major capsid protein,major capsid protein,[88798:90343](+),514,KT919972.1,"Vibrio phage phi-Grn1, complete genome",289-446,289-446
phiST2_0229,ALP47359.1,major capsid protein,major capsid protein,[148581:150126](+),514,KT919973.1,"Vibrio phage phi-ST2, complete genome",289-446,289-446
pp2_019,AFN37253.1,hypothetical protein,major capsid protein,[13243:13720](+),158,JN849462.1,"Vibriophage phi-pp2, complete genome",289-446,289-446
VPFG_00068,YP_008125219.1,hypothetical protein,major capsid protein,[178000:178480](+),159,NC_021529.2,"Vibrio phage nt-1, complete genome",289-446,289-446
CF80_gp239,YP_009006313.1,hypothetical protein,major capsid protein,[192557:193037](+),159,NC_023568.1,"Vibrio phage VH7D, complete genome",289-446,289-446
KVP40.0363,NP_899609.1,major capsid protein,major capsid protein,[224505:226050](+),514,NC_005083.2,"Vibrio phage KVP40, complete genome",289-446,289-446
phiGrn1_0033,ALP47328.1,hypothetical protein,major capsid protein,[23940:24078](-),45,KT919972.1,"Vibrio phage phi-Grn1, complete genome",289-446,289-446
KVP40.0019,NP_899267.1,hypothetical protein,major capsid protein,[13247:13724](+),158,NC_005083.2,"Vibrio phage KVP40, complete genome",289-446,289-446
pp2_363,AFN37595.1,major capsid protein,major capsid protein,[226211:227756](+),514,JN849462.1,"Vibriophage phi-pp2, complete genome",289-446,289-446
VPFG_00028,YP_008125183.1,major head protein,major capsid protein,[144851:146402](+),516,NC_021529.2,"Vibrio phage nt-1, complete genome",289-446,289-446
KVP40.0063,NP_899311.1,head vertex protein,major capsid protein,[36305:37202](+),298,NC_005083.2,"Vibrio phage KVP40, complete genome",289-446,289-446
phiST2_0309,ALP47404.1,capsid vertex protein,major capsid protein,[204014:204914](+),299,KT919973.1,"Vibrio phage phi-ST2, complete genome",289-446,289-446
CF80_gp217,YP_009006291.1,major capsid protein,major capsid protein,[160894:162439](+),514,NC_023568.1,"Vibrio phage VH7D, complete genome",289-446,289-446
VPFG_00110,YP_008125261.1,head vertex protein,major capsid protein,[201277:202171](+),297,NC_021529.2,"Vibrio phage nt-1, complete genome",289-446,289-446
