prot_tag,prot_id,product,Product_unified,start_stop,size,accession,name,cluster*,origin*
ASU01169.1,ASU01169.1,tail fiber protein / tubular protein B,tail tubular protein B,[28382:30767](+),794,MF574151.1,"Vibrio phage JSF25, complete genome",2,2
PV_009,AHN84660.1,putative tail tubular protein B protein,tail tubular protein B,[6264:8865](+),866,KJ502657.1,"Vibrio phage Vc1, complete genome",2,2
TU18-21_00180,ADX87623.1,tail tubular protein B,tail tubular protein B,[23576:25964](+),795,HQ641343.1,"Vibrio phage ICP3_2008_A, complete genome",2,2
AHC94070.1,AHC94070.1,tail protein,tail tubular protein B,[25689:28311](+),873,KF800937.1,"Vibrio phage AS51, complete genome",2,2
QD07_47,APU00184.1,tail protein,tail tubular protein B,[35980:38602](+),873,KY290756.1,"Vibrio phage Vp670, complete genome",2,2
VPP93_gp31,YP_002875655.1,putative tail tubular protein B,tail tubular protein B,[24740:27083](+),780,NC_012662.1,"Vibrio phage VP93, complete genome",2,2
CG95_gp15,YP_009009734.1,DNA-binding protein,tail tubular protein B,[29854:30640](-),261,NC_023605.1,"Vibrio phage PVA1, complete genome",2,2
VN4_34,YP_003347934.1,tail tubular protein B,tail tubular protein B,[22976:25361](+),794,NC_013651.1,"Vibrio phage N4, complete genome",2,2
VVP4_p22,YP_249591.1,Tail tubular protein B,tail tubular protein B,[23411:25796](+),794,NC_007149.1,"Vibriophage VP4, complete genome",2,2
TU18-20_00175,ADX87670.1,tail tubular protein B,tail tubular protein B,[23477:25862](+),794,HQ641344.1,"Vibrio phage ICP3_2007_A, complete genome",2,2
TU18-RWS_00175,ADX87527.1,tail tubular protein B,tail tubular protein B,[23463:25848](+),794,HQ641341.1,"Vibrio phage ICP3_2009_B, complete genome",2,2
APD18158.1,APD18158.1,tail fiber protein,tail tubular protein B,[32445:34878](-),810,KY065149.1,"Vibrio phage JSF7, complete genome",2,2
ViPhICP3_gp41,YP_004251284.1,tail tubular protein B,tail tubular protein B,[23583:25968](+),794,NC_015159.1,"Vibrio phage ICP3, complete genome",2,2
MS_009,YP_008239665.1,major capsid protein,tail tubular protein B,[4869:6012](+),380,NC_021776.1,"Vibrio phage vpms1, complete genome",2,2
VPNG_00045,YP_007674140.1,hypothetical protein,viron-encapsulated RNA polymerase,[27797:37460](-),3220,NC_020848.1,Vibrio phage VBP47 genomic sequence,3,3
vBVspPpVa5_0025,APC46019.1,virion encapsulated RNA polymerase protein,viron-encapsulated RNA polymerase,[24391:34426](+),3344,KX889068.2,"Vibrio phage pVa5, complete genome",3,3
M612_gp50,YP_008126816.1,viron-encapsulated RNA polymerase,viron-encapsulated RNA polymerase,[37006:46075](-),3022,NC_021540.1,"Vibrio phage JA-1, complete genome",3,3
AVV30_gp074,YP_009198592.1,viron-encapsulated RNA polymerase,viron-encapsulated RNA polymerase,[36189:45912](-),3240,NC_028799.1,"Vibrio phage phi 1, complete genome",3,3
VCO139_0054,AGI61882.1,viron-encapsulated RNA polymerase,viron-encapsulated RNA polymerase,[36699:45768](-),3022,KC438283.1,"Vibrio phage VCO139, complete genome",3,3
pVco5_111,ARM71100.1,virion-encapsulated RNA polymerase,viron-encapsulated RNA polymerase,[48733:58021](-),3095,KY612839.1,"Vibrio phage pVco-5, complete genome",3,3
APD18049.1,APD18049.1,ribonuclease E,viron-encapsulated RNA polymerase,[22555:31624](+),3022,KY065148.1,"Vibrio phage JSF3, complete genome",3,3
VPMG_00084,YP_007676574.1,hypothetical protein,viron-encapsulated RNA polymerase,[45965:55628](+),3220,NC_020868.1,Vibrio phage VBP32 genomic sequence,3,3
AVV30_gp067,YP_009198585.1,hypothetical protein,hypothetical protein,[30938:33104](+),721,NC_028799.1,"Vibrio phage phi 1, complete genome",5,5
vBVspPpVa5_0030,APC46022.1,DNA primase protein,hypothetical protein,[37134:39300](-),721,KX889068.2,"Vibrio phage pVa5, complete genome",5,5
M612_gp55,YP_008126811.1,hypothetical protein,hypothetical protein,[31998:33921](+),640,NC_021540.1,"Vibrio phage JA-1, complete genome",5,5
pVco5_101,ARM71089.1,hypothetical protein,hypothetical protein,[42927:45093](+),721,KY612839.1,"Vibrio phage pVco-5, complete genome",5,5
VPMG_00091,YP_007676581.1,hypothetical protein,hypothetical protein,[58799:60950](-),716,NC_020868.1,Vibrio phage VBP32 genomic sequence,5,5
M612_gp57,YP_008126809.1,hypothetical protein,hypothetical protein,[30708:30951](+),80,NC_021540.1,"Vibrio phage JA-1, complete genome",5,5
AVV30_gp077,YP_009198595.1,hypothetical protein,hypothetical protein,[47599:49804](-),734,NC_028799.1,"Vibrio phage phi 1, complete genome",7,7
